date,oktmo,pasta,legumes,bread,flour,rice,groats,potatoes,сucumbers_tomatoes,vegetables,roots,сabbage,fruit,sugar,candy,biscuits,mutton,beef,chicken,pork,fish,herring,curd,sour_creame,butter,milk_kefir,cheese,egg,margarine,oil,salt,spice,tea,pasta_zero,pasta_mean,pasta_ffill,pasta_interpolate,legumes_zero,legumes_mean,legumes_ffill,legumes_interpolate,bread_zero,bread_mean,bread_ffill,bread_interpolate,flour_zero,flour_mean,flour_ffill,flour_interpolate,rice_zero,rice_mean,rice_ffill,rice_interpolate,groats_zero,groats_mean,groats_ffill,groats_interpolate,potatoes_zero,potatoes_mean,potatoes_ffill,potatoes_interpolate,сucumbers_tomatoes_zero,сucumbers_tomatoes_mean,сucumbers_tomatoes_ffill,сucumbers_tomatoes_interpolate,vegetables_zero,vegetables_mean,vegetables_ffill,vegetables_interpolate,roots_zero,roots_mean,roots_ffill,roots_interpolate,сabbage_zero,сabbage_mean,сabbage_ffill,сabbage_interpolate,fruit_zero,fruit_mean,fruit_ffill,fruit_interpolate,sugar_zero,sugar_mean,sugar_ffill,sugar_interpolate,candy_zero,candy_mean,candy_ffill,candy_interpolate,biscuits_zero,biscuits_mean,biscuits_ffill,biscuits_interpolate,mutton_zero,mutton_mean,mutton_ffill,mutton_interpolate,beef_zero,beef_mean,beef_ffill,beef_interpolate,chicken_zero,chicken_mean,chicken_ffill,chicken_interpolate,pork_zero,pork_mean,pork_ffill,pork_interpolate,fish_zero,fish_mean,fish_ffill,fish_interpolate,herring_zero,herring_mean,herring_ffill,herring_interpolate,curd_zero,curd_mean,curd_ffill,curd_interpolate,sour_creame_zero,sour_creame_mean,sour_creame_ffill,sour_creame_interpolate,butter_zero,butter_mean,butter_ffill,butter_interpolate,milk_kefir_zero,milk_kefir_mean,milk_kefir_ffill,milk_kefir_interpolate,cheese_zero,cheese_mean,cheese_ffill,cheese_interpolate,egg_zero,egg_mean,egg_ffill,egg_interpolate,margarine_zero,margarine_mean,margarine_ffill,margarine_interpolate,oil_zero,oil_mean,oil_ffill,oil_interpolate,salt_zero,salt_mean,salt_ffill,salt_interpolate,spice_zero,spice_mean,spice_ffill,spice_interpolate,tea_zero,tea_mean,tea_ffill,tea_interpolate
2019-01-31,99000000000.0,57.263225806451615,95.77870967741936,70.87870967741937,29.895333333333333,55.910999999999994,32.48096774193548,27.04548387096774,150.62032258064514,27.68064516129032,55.016774193548386,33.08,108.2709677419355,49.637741935483874,313.408064516129,199.64645161290323,,388.02555555555557,183.79032258064515,301.432,,196.80161290322582,369.9458064516129,215.3293548387097,579.1903225806452,64.33129032258064,442.5787096774194,5.742580645161291,134.23586206896553,81.22612903225807,17.363999999999997,29.5458064516129,71.81645161290322,57.263225806451615,57.263225806451615,57.263225806451615,57.263225806451615,95.77870967741936,95.77870967741936,95.77870967741936,95.77870967741936,70.87870967741937,70.87870967741937,70.87870967741937,70.87870967741937,28.930967741935483,30.051987474890698,29.895333333333333,29.895333333333333,54.107419354838704,56.07468509984639,55.910999999999994,55.910999999999994,32.48096774193548,32.48096774193548,32.48096774193548,32.48096774193548,27.04548387096774,27.04548387096774,27.04548387096774,27.04548387096774,150.62032258064514,150.62032258064514,150.62032258064514,150.62032258064514,27.68064516129032,27.68064516129032,27.68064516129032,27.68064516129032,55.016774193548386,55.016774193548386,55.016774193548386,55.016774193548386,32.012903225806454,33.31157386229197,33.08,33.08,108.2709677419355,108.2709677419355,108.2709677419355,108.2709677419355,49.637741935483874,49.637741935483874,49.637741935483874,49.637741935483874,313.408064516129,313.408064516129,313.408064516129,313.408064516129,199.64645161290323,199.64645161290323,199.64645161290323,199.64645161290323,0.0,299.755,,,225.3051612903226,374.4862176752866,387.64592592592595,382.9115432098766,183.79032258064515,183.79032258064515,183.79032258064515,183.79032258064515,291.70838709677423,300.55129150419475,301.432,301.432,0.0,428.01050000000004,,,196.80161290322582,196.80161290322582,196.80161290322582,196.80161290322582,369.9458064516129,369.9458064516129,369.9458064516129,369.9458064516129,215.3293548387097,215.3293548387097,215.3293548387097,215.3293548387097,579.1903225806452,579.1903225806452,579.1903225806452,579.1903225806452,64.33129032258064,64.33129032258064,64.33129032258064,64.33129032258064,442.5787096774194,442.5787096774194,442.5787096774194,442.5787096774194,5.742580645161291,5.742580645161291,5.742580645161291,5.742580645161291,125.57548387096774,134.56231894199146,134.23586206896553,134.23586206896553,81.22612903225807,81.22612903225807,81.22612903225807,81.22612903225807,16.803870967741933,17.443071236559142,17.363999999999997,17.363999999999997,29.5458064516129,29.5458064516129,29.5458064516129,29.5458064516129,71.81645161290322,71.81645161290322,71.81645161290322,71.81645161290322
2019-02-28,99000000000.0,57.10785714285714,104.56821428571428,71.23357142857142,30.817857142857143,55.098571428571425,32.14392857142857,28.610357142857143,168.0442857142857,30.58892857142857,57.864285714285714,39.842499999999994,115.85714285714286,49.471785714285716,304.68642857142856,191.46892857142856,,428.6869230769231,185.02142857142857,291.73,,205.11392857142854,372.55249999999995,215.74392857142857,577.11,63.887499999999996,461.5210714285714,5.205357142857143,129.48962962962963,79.74464285714285,18.490000000000002,29.4925,76.12571428571428,57.10785714285714,57.10785714285714,57.10785714285714,57.10785714285714,104.56821428571428,104.56821428571428,104.56821428571428,104.56821428571428,71.23357142857142,71.23357142857142,71.23357142857142,71.23357142857142,30.817857142857143,30.817857142857143,30.817857142857143,30.817857142857143,55.098571428571425,55.098571428571425,55.098571428571425,55.098571428571425,32.14392857142857,32.14392857142857,32.14392857142857,32.14392857142857,28.610357142857143,28.610357142857143,28.610357142857143,28.610357142857143,168.0442857142857,168.0442857142857,168.0442857142857,168.0442857142857,30.58892857142857,30.58892857142857,30.58892857142857,30.58892857142857,57.864285714285714,57.864285714285714,57.864285714285714,57.864285714285714,39.842499999999994,39.842499999999994,39.842499999999994,39.842499999999994,115.85714285714286,115.85714285714286,115.85714285714286,115.85714285714286,49.471785714285716,49.471785714285716,49.471785714285716,49.471785714285716,304.68642857142856,304.68642857142856,304.68642857142856,304.68642857142856,191.46892857142856,191.46892857142856,191.46892857142856,191.46892857142856,0.0,299.755,,,199.0332142857143,389.60791543683587,426.33035714285717,425.9840476190476,185.02142857142857,185.02142857142857,185.02142857142857,185.02142857142857,291.73,291.73,291.73,291.73,0.0,428.01050000000004,,,205.11392857142854,205.11392857142854,205.11392857142854,205.11392857142854,372.55249999999995,372.55249999999995,372.55249999999995,372.55249999999995,215.74392857142857,215.74392857142857,215.74392857142857,215.74392857142857,577.11,577.11,577.11,577.11,63.887499999999996,63.887499999999996,63.887499999999996,63.887499999999996,461.5210714285714,461.5210714285714,461.5210714285714,461.5210714285714,5.205357142857143,5.205357142857143,5.205357142857143,5.205357142857143,124.86500000000001,129.8398551286024,129.22785714285715,129.38767857142858,79.74464285714285,79.74464285714285,79.74464285714285,79.74464285714285,18.490000000000002,18.490000000000002,18.490000000000002,18.490000000000002,29.4925,29.4925,29.4925,29.4925,76.12571428571428,76.12571428571428,76.12571428571428,76.12571428571428
2019-03-31,99000000000.0,60.31193548387097,101.06483870967743,73.38387096774194,31.445806451612903,55.619032258064514,34.148709677419355,28.876129032258063,145.9516129032258,31.793870967741935,57.5116129032258,43.78032258064516,118.56451612903226,49.30129032258064,309.578064516129,194.87129032258065,,394.5236,185.68516129032258,294.85483870967744,,204.83645161290323,370.9816129032258,215.18064516129033,544.2235483870968,63.567741935483866,478.59032258064514,5.047096774193549,122.14349999999999,80.30870967741936,18.143870967741936,29.899354838709677,72.84612903225806,60.31193548387097,60.31193548387097,60.31193548387097,60.31193548387097,101.06483870967743,101.06483870967743,101.06483870967743,101.06483870967743,73.38387096774194,73.38387096774194,73.38387096774194,73.38387096774194,31.445806451612903,31.445806451612903,31.445806451612903,31.445806451612903,55.619032258064514,55.619032258064514,55.619032258064514,55.619032258064514,34.148709677419355,34.148709677419355,34.148709677419355,34.148709677419355,28.876129032258063,28.876129032258063,28.876129032258063,28.876129032258063,145.9516129032258,145.9516129032258,145.9516129032258,145.9516129032258,31.793870967741935,31.793870967741935,31.793870967741935,31.793870967741935,57.5116129032258,57.5116129032258,57.5116129032258,57.5116129032258,43.78032258064516,43.78032258064516,43.78032258064516,43.78032258064516,118.56451612903226,118.56451612903226,118.56451612903226,118.56451612903226,49.30129032258064,49.30129032258064,49.30129032258064,49.30129032258064,309.578064516129,309.578064516129,309.578064516129,309.578064516129,194.87129032258065,194.87129032258065,194.87129032258065,194.87129032258065,0.0,299.755,,,318.1641935483871,387.01698880298585,398.80258064516124,400.1964516129032,185.68516129032258,185.68516129032258,185.68516129032258,185.68516129032258,294.85483870967744,294.85483870967744,294.85483870967744,294.85483870967744,0.0,428.01050000000004,,,204.83645161290323,204.83645161290323,204.83645161290323,204.83645161290323,370.9816129032258,370.9816129032258,370.9816129032258,370.9816129032258,215.18064516129033,215.18064516129033,215.18064516129033,215.18064516129033,544.2235483870968,544.2235483870968,544.2235483870968,544.2235483870968,63.567741935483866,63.567741935483866,63.567741935483866,63.567741935483866,478.59032258064514,478.59032258064514,478.59032258064514,478.59032258064514,5.047096774193549,5.047096774193549,5.047096774193549,5.047096774193549,78.80225806451612,128.2298509551466,122.21064516129033,121.69983870967742,80.30870967741936,80.30870967741936,80.30870967741936,80.30870967741936,18.143870967741936,18.143870967741936,18.143870967741936,18.143870967741936,29.899354838709677,29.899354838709677,29.899354838709677,29.899354838709677,72.84612903225806,72.84612903225806,72.84612903225806,72.84612903225806
2019-04-30,99000000000.0,61.54233333333333,106.67533333333333,72.55,31.759333333333334,56.092,34.35133333333333,31.188333333333333,142.54500000000002,36.135999999999996,62.24533333333333,47.66166666666666,121.63000000000001,48.176,263.53433333333334,195.82766666666666,,399.2361538461538,184.98066666666668,294.08233333333334,,204.48999999999998,373.13100000000003,217.4633333333333,598.196,63.83833333333334,479.64233333333334,5.006,118.12333333333332,80.29933333333334,18.242666666666665,29.58833333333333,75.62866666666667,61.54233333333333,61.54233333333333,61.54233333333333,61.54233333333333,106.67533333333333,106.67533333333333,106.67533333333333,106.67533333333333,72.55,72.55,72.55,72.55,31.759333333333334,31.759333333333334,31.759333333333334,31.759333333333334,56.092,56.092,56.092,56.092,34.35133333333333,34.35133333333333,34.35133333333333,34.35133333333333,31.188333333333333,31.188333333333333,31.188333333333333,31.188333333333333,142.54500000000002,142.54500000000002,142.54500000000002,142.54500000000002,36.135999999999996,36.135999999999996,36.135999999999996,36.135999999999996,62.24533333333333,62.24533333333333,62.24533333333333,62.24533333333333,47.66166666666666,47.66166666666666,47.66166666666666,47.66166666666666,121.63000000000001,121.63000000000001,121.63000000000001,121.63000000000001,48.176,48.176,48.176,48.176,263.53433333333334,263.53433333333334,263.53433333333334,263.53433333333334,195.82766666666666,195.82766666666666,195.82766666666666,195.82766666666666,0.0,299.755,,,346.00466666666665,393.4365922865014,400.44533333333334,400.616,184.98066666666668,184.98066666666668,184.98066666666668,184.98066666666668,294.08233333333334,294.08233333333334,294.08233333333334,294.08233333333334,0.0,428.01050000000004,,,204.48999999999998,204.48999999999998,204.48999999999998,204.48999999999998,373.13100000000003,373.13100000000003,373.13100000000003,373.13100000000003,217.4633333333333,217.4633333333333,217.4633333333333,217.4633333333333,598.196,598.196,598.196,598.196,63.83833333333334,63.83833333333334,63.83833333333334,63.83833333333334,479.64233333333334,479.64233333333334,479.64233333333334,479.64233333333334,5.006,5.006,5.006,5.006,70.874,126.59237744034706,117.45100000000001,118.72109999999999,80.29933333333334,80.29933333333334,80.29933333333334,80.29933333333334,18.242666666666665,18.242666666666665,18.242666666666665,18.242666666666665,29.58833333333333,29.58833333333333,29.58833333333333,29.58833333333333,75.62866666666667,75.62866666666667,75.62866666666667,75.62866666666667
2019-05-31,99000000000.0,64.54354838709678,98.20096774193549,71.8458064516129,32.236451612903224,56.93838709677419,34.608709677419355,32.28225806451613,118.95612903225806,44.67322580645161,63.88161290322581,47.65806451612904,119.75483870967743,49.04064516129032,259.45451612903224,188.31,,421.511,180.07032258064518,281.06612903225806,,215.72838709677418,370.32645161290327,216.31258064516132,621.7183870967742,64.1116129032258,466.4074193548387,4.904516129032258,113.88846153846154,80.3358064516129,17.860967741935486,30.41774193548387,71.25483870967743,64.54354838709678,64.54354838709678,64.54354838709678,64.54354838709678,98.20096774193549,98.20096774193549,98.20096774193549,98.20096774193549,71.8458064516129,71.8458064516129,71.8458064516129,71.8458064516129,32.236451612903224,32.236451612903224,32.236451612903224,32.236451612903224,56.93838709677419,56.93838709677419,56.93838709677419,56.93838709677419,34.608709677419355,34.608709677419355,34.608709677419355,34.608709677419355,32.28225806451613,32.28225806451613,32.28225806451613,32.28225806451613,118.95612903225806,118.95612903225806,118.95612903225806,118.95612903225806,44.67322580645161,44.67322580645161,44.67322580645161,44.67322580645161,63.88161290322581,63.88161290322581,63.88161290322581,63.88161290322581,47.65806451612904,47.65806451612904,47.65806451612904,47.65806451612904,119.75483870967743,119.75483870967743,119.75483870967743,119.75483870967743,49.04064516129032,49.04064516129032,49.04064516129032,49.04064516129032,259.45451612903224,259.45451612903224,259.45451612903224,259.45451612903224,188.31,188.31,188.31,188.31,0.0,299.755,,,407.91387096774196,419.38933684350843,421.5458064516129,421.64516129032256,180.07032258064518,180.07032258064518,180.07032258064518,180.07032258064518,281.06612903225806,281.06612903225806,281.06612903225806,281.06612903225806,0.0,428.01050000000004,,,215.72838709677418,215.72838709677418,215.72838709677418,215.72838709677418,370.32645161290327,370.32645161290327,370.32645161290327,370.32645161290327,216.31258064516132,216.31258064516132,216.31258064516132,216.31258064516132,621.7183870967742,621.7183870967742,621.7183870967742,621.7183870967742,64.1116129032258,64.1116129032258,64.1116129032258,64.1116129032258,466.4074193548387,466.4074193548387,466.4074193548387,466.4074193548387,4.904516129032258,4.904516129032258,4.904516129032258,4.904516129032258,47.75967741935484,128.64119305856832,116.84774193548388,117.462,80.3358064516129,80.3358064516129,80.3358064516129,80.3358064516129,17.860967741935486,17.860967741935486,17.860967741935486,17.860967741935486,30.41774193548387,30.41774193548387,30.41774193548387,30.41774193548387,71.25483870967743,71.25483870967743,71.25483870967743,71.25483870967743
2019-06-30,99000000000.0,63.349666666666664,96.37899999999999,71.51366666666667,33.178666666666665,53.882333333333335,34.14,45.98833333333334,77.77766666666666,41.29266666666667,56.702999999999996,39.522000000000006,110.02333333333333,47.400666666666666,266.24399999999997,193.417,,433.8961538461538,181.852,276.6293333333333,,209.56833333333333,370.3636666666667,221.72866666666667,629.9026666666666,64.06866666666666,483.656,4.734,122.88125,80.286,17.793666666666663,30.163999999999998,67.74133333333333,63.349666666666664,63.349666666666664,63.349666666666664,63.349666666666664,96.37899999999999,96.37899999999999,96.37899999999999,96.37899999999999,71.51366666666667,71.51366666666667,71.51366666666667,71.51366666666667,33.178666666666665,33.178666666666665,33.178666666666665,33.178666666666665,53.882333333333335,53.882333333333335,53.882333333333335,53.882333333333335,34.14,34.14,34.14,34.14,45.98833333333334,45.98833333333334,45.98833333333334,45.98833333333334,77.77766666666666,77.77766666666666,77.77766666666666,77.77766666666666,41.29266666666667,41.29266666666667,41.29266666666667,41.29266666666667,56.702999999999996,56.702999999999996,56.702999999999996,56.702999999999996,39.522000000000006,39.522000000000006,39.522000000000006,39.522000000000006,110.02333333333333,110.02333333333333,110.02333333333333,110.02333333333333,47.400666666666666,47.400666666666666,47.400666666666666,47.400666666666666,266.24399999999997,266.24399999999997,266.24399999999997,266.24399999999997,193.417,193.417,193.417,193.417,0.0,299.755,,,376.0433333333333,423.47525895316807,435.237,435.01433333333335,181.852,181.852,181.852,181.852,276.6293333333333,276.6293333333333,276.6293333333333,276.6293333333333,0.0,428.01050000000004,,,209.56833333333333,209.56833333333333,209.56833333333333,209.56833333333333,370.3636666666667,370.3636666666667,370.3636666666667,370.3636666666667,221.72866666666667,221.72866666666667,221.72866666666667,221.72866666666667,629.9026666666666,629.9026666666666,629.9026666666666,629.9026666666666,64.06866666666666,64.06866666666666,64.06866666666666,64.06866666666666,483.656,483.656,483.656,483.656,4.734,4.734,4.734,4.734,65.53666666666666,130.54144034707159,122.73166666666665,122.4755,80.286,80.286,80.286,80.286,17.793666666666663,17.793666666666663,17.793666666666663,17.793666666666663,30.163999999999998,30.163999999999998,30.163999999999998,30.163999999999998,67.74133333333333,67.74133333333333,67.74133333333333,67.74133333333333
2019-07-31,99000000000.0,63.32096774193548,96.74935483870968,71.78645161290324,32.614838709677414,57.62516129032257,32.670967741935485,35.384838709677425,59.38967741935484,40.81806451612903,48.61096774193548,29.878387096774194,97.90645161290323,43.73548387096774,283.1448387096774,192.95387096774192,,428.32,187.68806451612903,258.3864516129032,162.82,198.32064516129034,369.95354838709676,223.88806451612902,661.5538709677419,64.47645161290322,482.87548387096774,4.4796774193548385,127.9278947368421,76.39903225806451,18.387096774193548,28.34774193548387,74.21612903225805,63.32096774193548,63.32096774193548,63.32096774193548,63.32096774193548,96.74935483870968,96.74935483870968,96.74935483870968,96.74935483870968,71.78645161290324,71.78645161290324,71.78645161290324,71.78645161290324,32.614838709677414,32.614838709677414,32.614838709677414,32.614838709677414,57.62516129032257,57.62516129032257,57.62516129032257,57.62516129032257,32.670967741935485,32.670967741935485,32.670967741935485,32.670967741935485,35.384838709677425,35.384838709677425,35.384838709677425,35.384838709677425,59.38967741935484,59.38967741935484,59.38967741935484,59.38967741935484,40.81806451612903,40.81806451612903,40.81806451612903,40.81806451612903,48.61096774193548,48.61096774193548,48.61096774193548,48.61096774193548,29.878387096774194,29.878387096774194,29.878387096774194,29.878387096774194,97.90645161290323,97.90645161290323,97.90645161290323,97.90645161290323,43.73548387096774,43.73548387096774,43.73548387096774,43.73548387096774,283.1448387096774,283.1448387096774,283.1448387096774,283.1448387096774,192.95387096774192,192.95387096774192,192.95387096774192,192.95387096774192,0.0,299.755,,,359.2361290322581,416.61345841109033,430.8803225806452,428.2395161290322,187.68806451612903,187.68806451612903,187.68806451612903,187.68806451612903,258.3864516129032,258.3864516129032,258.3864516129032,258.3864516129032,21.009032258064515,393.79237096774193,166.56923076923078,166.42126722987996,198.32064516129034,198.32064516129034,198.32064516129034,198.32064516129034,369.95354838709676,369.95354838709676,369.95354838709676,369.95354838709676,223.88806451612902,223.88806451612902,223.88806451612902,223.88806451612902,661.5538709677419,661.5538709677419,661.5538709677419,661.5538709677419,64.47645161290322,64.47645161290322,64.47645161290322,64.47645161290322,482.87548387096774,482.87548387096774,482.87548387096774,482.87548387096774,4.4796774193548385,4.4796774193548385,4.4796774193548385,4.4796774193548385,78.40741935483871,132.32842978098105,128.37225806451613,128.2598387096774,76.39903225806451,76.39903225806451,76.39903225806451,76.39903225806451,18.387096774193548,18.387096774193548,18.387096774193548,18.387096774193548,28.34774193548387,28.34774193548387,28.34774193548387,28.34774193548387,74.21612903225805,74.21612903225805,74.21612903225805,74.21612903225805
2019-08-31,99000000000.0,66.93774193548387,93.65612903225806,72.34290322580645,33.266129032258064,56.354193548387094,35.70709677419355,38.45193548387097,77.3141935483871,40.01903225806451,49.611935483870965,28.38516129032258,102.03870967741935,41.994516129032256,315.47193548387094,198.18516129032258,,370.89185185185187,185.79516129032257,273.2732258064516,,209.47354838709677,379.46774193548384,230.54741935483872,676.9848387096774,68.16935483870968,496.7658064516129,4.57774193548387,131.74347826086955,78.50032258064518,18.638387096774192,30.52258064516129,68.54709677419355,66.93774193548387,66.93774193548387,66.93774193548387,66.93774193548387,93.65612903225806,93.65612903225806,93.65612903225806,93.65612903225806,72.34290322580645,72.34290322580645,72.34290322580645,72.34290322580645,33.266129032258064,33.266129032258064,33.266129032258064,33.266129032258064,56.354193548387094,56.354193548387094,56.354193548387094,56.354193548387094,35.70709677419355,35.70709677419355,35.70709677419355,35.70709677419355,38.45193548387097,38.45193548387097,38.45193548387097,38.45193548387097,77.3141935483871,77.3141935483871,77.3141935483871,77.3141935483871,40.01903225806451,40.01903225806451,40.01903225806451,40.01903225806451,49.611935483870965,49.611935483870965,49.611935483870965,49.611935483870965,28.38516129032258,28.38516129032258,28.38516129032258,28.38516129032258,102.03870967741935,102.03870967741935,102.03870967741935,102.03870967741935,41.994516129032256,41.994516129032256,41.994516129032256,41.994516129032256,315.47193548387094,315.47193548387094,315.47193548387094,315.47193548387094,198.18516129032258,198.18516129032258,198.18516129032258,198.18516129032258,0.0,299.755,,,323.03483870967744,368.9367022127432,377.83096774193547,374.89290322580644,185.79516129032257,185.79516129032257,185.79516129032257,185.79516129032257,273.2732258064516,273.2732258064516,273.2732258064516,273.2732258064516,0.0,428.01050000000004,167.48,178.28306358381502,209.47354838709677,209.47354838709677,209.47354838709677,209.47354838709677,379.46774193548384,379.46774193548384,379.46774193548384,379.46774193548384,230.54741935483872,230.54741935483872,230.54741935483872,230.54741935483872,676.9848387096774,676.9848387096774,676.9848387096774,676.9848387096774,68.16935483870968,68.16935483870968,68.16935483870968,68.16935483870968,496.7658064516129,496.7658064516129,496.7658064516129,496.7658064516129,4.57774193548387,4.57774193548387,4.57774193548387,4.57774193548387,97.74516129032257,133.69250157441746,131.75290322580645,132.05241935483872,78.50032258064518,78.50032258064518,78.50032258064518,78.50032258064518,18.638387096774192,18.638387096774192,18.638387096774192,18.638387096774192,30.52258064516129,30.52258064516129,30.52258064516129,30.52258064516129,68.54709677419355,68.54709677419355,68.54709677419355,68.54709677419355
